That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
Hello, you majestic creature of the North American Plains!	Hello, you majestic creature of the North American Plains!
Flattery will get you nowhere with that beast.	Flattery will get you nowhere with that beast.
Nice buffalo! Nice buffalo!	Nice buffalo! Nice buffalo!
(Did he say "buffalo" or "Buff Al Lowe?")	(Did he say "buffalo" or "Buff Al Lowe?")
Once this lamp burned whale oil, but you know how hard it is to find whales around here?	Once this lamp burned whale oil, but you know how hard it is to find whales around here?
This thing wouldn't work if you pumped 50,000 volts into it. Kinda like the Banker, the Sheriff, and most of the other folks in town!	This thing wouldn't work if you pumped 50,000 volts into it. Kinda like the Banker, the Sheriff, and most of the other folks in town!
You're glad this pitcher is only used for storing water for hand washing. If you are thirsty, you'd be better off drinking from the horse troughs outside than trusting your life to this mess.	You're glad this pitcher is only used for storing water for hand washing. If you are thirsty, you'd be better off drinking from the horse troughs outside than trusting your life to this mess.
You tryin' to take-a my pitcher? No tenk-a-you, I'm-a camera shy!	You tryin' to take-a my pitcher? No tenk-a-you, I'm-a camera shy!
This is Salvatore's adjustable barber chair. Somebody ripped off the hand restraints during a tooth extraction.	This is Salvatore's adjustable barber chair. Somebody ripped off the hand restraints during a tooth extraction.
You're not here for a trim.	You're not here for a trim.
Upon close inspection, you realize Sal's counter is filled with little, teeny-tiny hairs... as is everything else in this place, including Sal!	Upon close inspection, you realize Sal's counter is filled with little, teeny-tiny hairs... as is everything else in this place, including Sal!
You wanna some teeny-tiny little hairs? Sure, help-a-youself!	You wanna some teeny-tiny little hairs? Sure, help-a-youself!
You actually decide you have no use for teeny-tiny hairs.	You actually decide you have no use for teeny-tiny hairs.
You see nothing in Sal's barbershop that you would consider useful.	You see nothing in Sal's barbershop that you would consider useful.
There's nothing on the shelf worth steal... er, borrowing.	There's nothing on the shelf worth steal... er, borrowing.
This combination barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.	This combination barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.
The words just aren't flowing freely, so you decide to shut up.	The words just aren't flowing freely, so you decide to shut up.
Please quit pokin' anna proddin' everything. You make-a me nervous.	Please quit pokin' anna proddin' everything. You make-a me nervous.
Sal has a back door in case angry customers queue up out front to file lead complaints about their haircuts!	Sal has a back door in case angry customers queue up out front to file lead complaints about their haircuts!
This barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.	This barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.
Doan you smudge-a my window!	Doan you smudge-a my window!
This cabinet contains boring tonsorial equipment.	This cabinet contains boring tonsorial equipment.
'ey, leave-a my boring tonsorial equipment alone!	'ey, leave-a my boring tonsorial equipment alone!
You wouldn't care to give this place a "white glove" inspection... unless you wanted black gloves!	You wouldn't care to give this place a "white glove" inspection... unless you wanted black gloves!
You poke through the bottles to see what's what. Hmmm... preshave, aftershave, duringshave, notgonnashave, nevershave, wannashave and tooyoungtoshave. Remember what Al Lowe says: "shave early, shave often!"	You poke through the bottles to see what's what. Hmmm... preshave, aftershave, duringshave, notgonnashave, nevershave, wannashave and tooyoungtoshave. Remember what Al Lowe says: "shave early, shave often!"
Sal used to keep this shelf filled with toiletries... until he found out there were no toilets in town!	Sal used to keep this shelf filled with toiletries... until he found out there were no toilets in town!
There's nothing there except a few tonics 'n stuff that you sold Salvatore.	There's nothing there except a few tonics 'n stuff that you sold Salvatore.
You catch a quick peek of yourself in the mirror and hope that no one noticed.	You catch a quick peek of yourself in the mirror and hope that no one noticed.
That's quite a mirror, Sal!	That's quite a mirror, Sal!
That'sa right. There ain' ah nobody believes justa how mucha costs to ship around de Isthmus!	That'sa right. There ain' ah nobody believes justa how mucha costs to ship around de Isthmus!
Salvatore O'Hanahan has spared no expense installing a large expensive mirror for the convenience of his customers.	Salvatore O'Hanahan has spared no expense installing a large expensive mirror for the convenience of his customers.
Those old boots look vaguely familiar.	Those old boots look vaguely familiar.
Better not, they might belong to somebody.	Better not, they might belong to somebody.
Those are the naughty French postcards you gave to Salvatore!	Those are the naughty French postcards you gave to Salvatore!
Hey, no Indian giving!	Hey, no Indian giving!
That canister is labelled NO2.	That canister is labelled NO2.
But it hasn't been offered to you! What is this attitude where you're trying to take everything that isn't nailed down? You can't get away with that, you know... especially not in the Old West.	But it hasn't been offered to you! What is this attitude where you're trying to take everything that isn't nailed down? You can't get away with that, you know... especially not in the Old West.
It's Salvatore O'Hanahan, looking very odd. That's it, he looks BACKWARDS. His part is on the wrong side and his facial features are reversed. You hope this "mirror" thing hasn't captured Salvatore's soul or anything.	It's Salvatore O'Hanahan, looking very odd. That's it, he looks BACKWARDS. His part is on the wrong side and his facial features are reversed. You hope this "mirror" thing hasn't captured Salvatore's soul or anything.
Hey, Salvatore's reflection, how goes it?	Hey, Salvatore's reflection, how goes it?
?ot gniklat uoy er'ohw ,yeH	?ot gniklat uoy er'ohw ,yeH
You! I mean... no, never mind.	You! I mean... no, never mind.
It's only an image on glass. You can't take it, touch it, or even show it tender loving care.	It's only an image on glass. You can't take it, touch it, or even show it tender loving care.
Fletcher Castoria, the town plumber, sits here patiently, waiting for his turn in the chair. He's got nothing else to do, since nobody in Coarsegold has plumbing!	Fletcher Castoria, the town plumber, sits here patiently, waiting for his turn in the chair. He's got nothing else to do, since nobody in Coarsegold has plumbing!
Hey, Fletcher, how's the plumbing business?	Hey, Fletcher, how's the plumbing business?
He doesn't respond. Apparently he's too engrossed in reading the latest copy of the Skoocherdownan Examiner!	He doesn't respond. Apparently he's too engrossed in reading the latest copy of the Skoocherdownan Examiner!
Please don't poke the plumber!	Please don't poke the plumber!
It's Whittlin' Willy. He's been here ever since you got to Coarsegold, and he hasn't aged a day. He's always been about 140 years old. He spins a mean yarn, and somehow he always seems to know what people did even when he wasn't in the room.	It's Whittlin' Willy. He's been here ever since you got to Coarsegold, and he hasn't aged a day. He's always been about 140 years old. He spins a mean yarn, and somehow he always seems to know what people did even when he wasn't in the room.
It's m'secret powers, kid. I got X-ray vision and super hearing. 'Kay? Now scram.	It's m'secret powers, kid. I got X-ray vision and super hearing. 'Kay? Now scram.
Hiya, Whittlin' Willy! How's the Whittlin' going?	Hiya, Whittlin' Willy! How's the Whittlin' going?
Hiya, sonny! Just splendidly, thanks! I'm workin' on a ol' dead beached whale. 'Sgonna be m'best work to date.	Hiya, sonny! Just splendidly, thanks! I'm workin' on a ol' dead beached whale. 'Sgonna be m'best work to date.
Will it be for sale?	Will it be for sale?
Will it be for sale? NO, it AIN'T gonna be fer sale! I'm an ARTISTE, dag nab it! 'Sides, iffn I hang onter it fer awhilst, mebbe it'll be worth sumpthin' someday. Now scram.	Will it be for sale? NO, it AIN'T gonna be fer sale! I'm an ARTISTE, dag nab it! 'Sides, iffn I hang onter it fer awhilst, mebbe it'll be worth sumpthin' someday. Now scram.
Hey there, Willy!	Hey there, Willy!
That's WHITTLIN' Willy to you, son. Respeck yer olders.	That's WHITTLIN' Willy to you, son. Respeck yer olders.
Sorry.	Sorry.
Fergit about it. Jus' get outta here, I'm whittlin'.	Fergit about it. Jus' get outta here, I'm whittlin'.
Whittlin' Willy!	Whittlin' Willy!
Thunderation, boy! Ain't you got nothin' better ta do than interrupt me when I'm whittlin'?	Thunderation, boy! Ain't you got nothin' better ta do than interrupt me when I'm whittlin'?
Geez, sorry! It's just that you're a colorful old character, and I enjoy hearing tall tales and Western folklore from your oral traditions.	Geez, sorry! It's just that you're a colorful old character, and I enjoy hearing tall tales and Western folklore from your oral traditions.
Yew jus' keep my oral traditions outta this, son. Don't you gotta pharmacy to run? Ain't you got customers to wait on?	Yew jus' keep my oral traditions outta this, son. Don't you gotta pharmacy to run? Ain't you got customers to wait on?
I guess so...	I guess so...
Then git along! Move 'em on! Head 'em up! Cut 'em out! Tie 'em in! Ride 'em in! Turn 'em in! Cut 'em out!	Then git along! Move 'em on! Head 'em up! Cut 'em out! Tie 'em in! Ride 'em in! Turn 'em in! Cut 'em out!
Okay, okay.	Okay, okay.
Willy, you know what's going on out there?	Willy, you know what's going on out there?
How could I MISS it, son? Whillikers, you step out there and it's like bein' smacked with a sack o'... welp, guess I don't hafta tell YOU, I smelt you comin' in!	How could I MISS it, son? Whillikers, you step out there and it's like bein' smacked with a sack o'... welp, guess I don't hafta tell YOU, I smelt you comin' in!
We gotta do something about it!	We gotta do something about it!
I'm doin' my part, sonny. I'm whittlin' m'will.	I'm doin' my part, sonny. I'm whittlin' m'will.
That's not good enough!	That's not good enough!
Hey, yer the pharmacist 'round here. We ain't got no veteran aryan. Them horses're obviously havin' some sorta lower gastro-intestinal discomforture, so diagnose 'em, dammit, and give 'em sumpthin' to make 'em better! Now leave me be.	Hey, yer the pharmacist 'round here. We ain't got no veteran aryan. Them horses're obviously havin' some sorta lower gastro-intestinal discomforture, so diagnose 'em, dammit, and give 'em sumpthin' to make 'em better! Now leave me be.
Willy, you heard about the snail stampede?	Willy, you heard about the snail stampede?
Yepper.	Yepper.
Ever hear of anything like this happening?	Ever hear of anything like this happening?
Nope, never.	Nope, never.
Well, what am I supposed to do about it?	Well, what am I supposed to do about it?
Hey, boy, I'm jus' an ol' whittler, settin' around watching events unfold and commentin' with m'folksy, old-timey attitude... y'know, kinda cranky, but with a sense of humor, too.	Hey, boy, I'm jus' an ol' whittler, settin' around watching events unfold and commentin' with m'folksy, old-timey attitude... y'know, kinda cranky, but with a sense of humor, too.
Can't you give me some advice?	Can't you give me some advice?
Welp, that ain't m' speciality, but I'll tell ya this: them snails ain't much different from your ordinary garden slugs. They prob'ly likes the same things. So jes' keep that in mind when dealin' with 'em.	Welp, that ain't m' speciality, but I'll tell ya this: them snails ain't much different from your ordinary garden slugs. They prob'ly likes the same things. So jes' keep that in mind when dealin' with 'em.
Yer welcome. Now get outta here, 'n go git some beer.	Yer welcome. Now get outta here, 'n go git some beer.
Well, I got rid of those snails! Aren't you proud of me?	Well, I got rid of those snails! Aren't you proud of me?
Yeah, yeah. Only it's gonna get a lot worse, I'm tellin' ya!	Yeah, yeah. Only it's gonna get a lot worse, I'm tellin' ya!
How do you know?	How do you know?
Who's tellin' this story, you or me?	Who's tellin' this story, you or me?
Well, you, I guess...	Well, you, I guess...
Then I guess I know whut I'm talkin' about, don't I? Now git on out to the desert and git that guy offa the anthill 'afore I pick you up and carry you there!	Then I guess I know whut I'm talkin' about, don't I? Now git on out to the desert and git that guy offa the anthill 'afore I pick you up and carry you there!
Alright, alright!	Alright, alright!
Willy, I got myself an assistant down at the Pharmacy.	Willy, I got myself an assistant down at the Pharmacy.
What'n the sam hill you need an assistant fer, kid? The Sheriff done closed your butt down!	What'n the sam hill you need an assistant fer, kid? The Sheriff done closed your butt down!
Well, I've been so busy helping people and stuff, and I was hoping to reopen the store soon, so I thought...	Well, I've been so busy helping people and stuff, and I was hoping to reopen the store soon, so I thought...
You thought, eh? Well, THAT'S a first! Anyhows, that assistant might come in handy eventually. But fer the time being, head on out to the outhouse and figger out whut's goin' ON out there! Seems like half the town's got the big-time runs!	You thought, eh? Well, THAT'S a first! Anyhows, that assistant might come in handy eventually. But fer the time being, head on out to the outhouse and figger out whut's goin' ON out there! Seems like half the town's got the big-time runs!
The what?	The what?
I sez, |c2|GIT|c|!!	I sez, |c2|GIT|c|!!
Hey, Willy!	Hey, Willy!
Leave me alone, I'm crabby.	Leave me alone, I'm crabby.
So what else is new? Listen, I'm gonna be leaving town for a while.	So what else is new? Listen, I'm gonna be leaving town for a while.
Yeah, right.	Yeah, right.
No, I am!	No, I am!
Yew are not. Yer gonna practice yer gunslingin', then yer gonna dredge up that mucky ol' past of yours and go back to bein' a bigshot hero.	Yew are not. Yer gonna practice yer gunslingin', then yer gonna dredge up that mucky ol' past of yours and go back to bein' a bigshot hero.
Hey, half the Western Heros in America done the same thang. Good luck to ya. See ya in the dime novels. Now get a move on.	Hey, half the Western Heros in America done the same thang. Good luck to ya. See ya in the dime novels. Now get a move on.
Hiya, Whittlin' Willy!	Hiya, Whittlin' Willy!
How'd the gunslingin' go?	How'd the gunslingin' go?
Great! I'm getting ready to leave town now.	Great! I'm getting ready to leave town now.
Drop the "leavin' town" bit, sonny. I know whut you're up to. This is my story, 'member?	Drop the "leavin' town" bit, sonny. I know whut you're up to. This is my story, 'member?
Oh, yeah.	Oh, yeah.
Now finish puttin' that disguise together and git to it, so's we kin git this town cleaned up once 'n fer all!	Now finish puttin' that disguise together and git to it, so's we kin git this town cleaned up once 'n fer all!
Hey, you don't have to tell me twice!	Hey, you don't have to tell me twice!
Don't be jostlin' my arm, son. You'll mess up my whittlin'!	Don't be jostlin' my arm, son. You'll mess up my whittlin'!
Sorry, son, that stuff's too strong fer me! But y'know, some moonshine'd go down real good right now!	Sorry, son, that stuff's too strong fer me! But y'know, some moonshine'd go down real good right now!
It's empty!	It's empty!
Yeah.	Yeah.
Welp, bring it back when it's full, and we'll get stinkin'!	Welp, bring it back when it's full, and we'll get stinkin'!
Hey! Smart thinkin', sonny! Didja get big points fer that?	Hey! Smart thinkin', sonny! Didja get big points fer that?
Pretty good, yeah.	Pretty good, yeah.
Well, all right then! Good goin'! Yew'll be a hero yet!	Well, all right then! Good goin'! Yew'll be a hero yet!
That stuff don't do me any good. M'hemorrhoids're too far gone for that pap. Little bit o' horse glue, though, an' I'm back in the saddle agin!	That stuff don't do me any good. M'hemorrhoids're too far gone for that pap. Little bit o' horse glue, though, an' I'm back in the saddle agin!
I don't drink beer!	I don't drink beer!
Yew bin drinkin' the wrong beer, then. Yuh need a beer with the flavor that stays with yuh, beer after beer.	Yew bin drinkin' the wrong beer, then. Yuh need a beer with the flavor that stays with yuh, beer after beer.
Hey, I may LOOK like an old goat, but I don't eat like one!	Hey, I may LOOK like an old goat, but I don't eat like one!
I cain't carve nuthin' with THAT! It ain't got a blade! 'Spoze I could poke holes in sumpthin' with it, but I don't really need to.	I cain't carve nuthin' with THAT! It ain't got a blade! 'Spoze I could poke holes in sumpthin' with it, but I don't really need to.
That's whut ya calls yer charcoal, boy. Whut of it?	That's whut ya calls yer charcoal, boy. Whut of it?
I'm not sure why I've got it.	I'm not sure why I've got it.
So what else is new, boy! You bin walkin' around, pickin' up everthing that ain't nailed down! You'll find a use for it eventually, I'm sure.	So what else is new, boy! You bin walkin' around, pickin' up everthing that ain't nailed down! You'll find a use for it eventually, I'm sure.
Don't whup me, boy! Don't whup me!	Don't whup me, boy! Don't whup me!
No thanks, I hate eatin' charcoal outta a feed bag.	No thanks, I hate eatin' charcoal outta a feed bag.
It's a gas mask, not a feed bag.	It's a gas mask, not a feed bag.
Well, whutever it is, I don't need to be strappin' it on like some danged fool. You go ahead. It suits you better.	Well, whutever it is, I don't need to be strappin' it on like some danged fool. You go ahead. It suits you better.
I don't need any of that pharmacy crap. I've got the constitution of an oxe. <wheeze> <hack> <cough>	I don't need any of that pharmacy crap. I've got the constitution of an oxe. <wheeze> <hack> <cough>
Escargot sushi!	Escargot sushi!
What what?	What what?
Never mind, kid. You'll learn whut it means in another 100 years or so. Now skedaddle!	Never mind, kid. You'll learn whut it means in another 100 years or so. Now skedaddle!
You don't owe me nothin'. Take it away afore I change m'mind.	You don't owe me nothin'. Take it away afore I change m'mind.
I dasn't drink beer, young 'un! How d'yall think I got to be this age?	I dasn't drink beer, young 'un! How d'yall think I got to be this age?
I don't know, sir.	I don't know, sir.
Well, it warn't by drinkin' that St. Louie pisswater. Make mine rotgut, every time!	Well, it warn't by drinkin' that St. Louie pisswater. Make mine rotgut, every time!
They're empty, son!	They're empty, son!
I know!	I know!
Well, whut'd you want me to do with 'em? Pee in 'em?	Well, whut'd you want me to do with 'em? Pee in 'em?
Maybe.	Maybe.
Well, I went awhile ago. Thanks anyway!	Well, I went awhile ago. Thanks anyway!
That ain't MY key, son! Yew just hang onto it.	That ain't MY key, son! Yew just hang onto it.
Nice piece o' lumber, kiddo. You wanted some stuff whittled into it? Take a number, I gotta finish this piece of scrimshaw.	Nice piece o' lumber, kiddo. You wanted some stuff whittled into it? Take a number, I gotta finish this piece of scrimshaw.
Y'all got a hank of rope there! Yew bin garbage-pickin' down at Smithie's old place?	Y'all got a hank of rope there! Yew bin garbage-pickin' down at Smithie's old place?
Glad to hear it. Now git.	Glad to hear it. Now git.
Gotcherself a nice-lookin' lasso there. You tie it?	Gotcherself a nice-lookin' lasso there. You tie it?
Hmm. I'm gonna keep m'eye on you. You got the makin's of a real Western hero. Someday they'll be tellin' stories about you, mark my words. Now vamoose.	Hmm. I'm gonna keep m'eye on you. You got the makin's of a real Western hero. Someday they'll be tellin' stories about you, mark my words. Now vamoose.
Whut do you think I am, stupid or sumpin'? I try and whittle that, I'll puncture it, and you'll get laughin' gas for blocks around! We'd all die laughin'! Not that it'd be a bad way to go, but hell, son, I got plans! There's tales to tell and wood t' whittle! Get outta here now.	Whut do you think I am, stupid or sumpin'? I try and whittle that, I'll puncture it, and you'll get laughin' gas for blocks around! We'd all die laughin'! Not that it'd be a bad way to go, but hell, son, I got plans! There's tales to tell and wood t' whittle! Get outta here now.
I sees ya got... whut, about a hunnerd sack?... of bakin' soda there, sonny.	I sees ya got... whut, about a hunnerd sack?... of bakin' soda there, sonny.
Yep, and it's feeling a little heavy, too.	Yep, and it's feeling a little heavy, too.
Shucks, son. I remembers when I wuz just a sprite in my mama's apple, I used to have to carry FIVE HUNNERD sack o' baking soda to school and back, ever' day, twenny-five miles in each direction. Yer jus' SPOILT, sonny, thet's what's wrong witcha! Now get back to whuch yer doin', and leave me to my whittlin'.	Shucks, son. I remembers when I wuz just a sprite in my mama's apple, I used to have to carry FIVE HUNNERD sack o' baking soda to school and back, ever' day, twenny-five miles in each direction. Yer jus' SPOILT, sonny, thet's what's wrong witcha! Now get back to whuch yer doin', and leave me to my whittlin'.
I don't look at no nekkid pitchers of wimmenfolk. But hey, ya got any pitchers of sheep? Bring 'em on by! Now git outta here.	I don't look at no nekkid pitchers of wimmenfolk. But hey, ya got any pitchers of sheep? Bring 'em on by! Now git outta here.
Nice bit o' wax ya gots there, sonny! Good fer lost-wax castin'! That reminds me, I wuz gonna finish whittlin' that pair o' skis. Welp, I'll get to it tomorrow.	Nice bit o' wax ya gots there, sonny! Good fer lost-wax castin'! That reminds me, I wuz gonna finish whittlin' that pair o' skis. Welp, I'll get to it tomorrow.
You aim the gun at Willy... and pull the trigger!	You aim the gun at Willy... and pull the trigger!
HAH! My skin's tough as nails, kid. Like old rawhide. Bullets cain't stop me.	HAH! My skin's tough as nails, kid. Like old rawhide. Bullets cain't stop me.
That shore does smell good, kid! Wouldn't mind whittlin' myself a slice o' that. Gives me the craps, though, so get it away from me.	That shore does smell good, kid! Wouldn't mind whittlin' myself a slice o' that. Gives me the craps, though, so get it away from me.
I don't drink thet stuff. Eats m'gullet out. Gives me ulcers. But you run across some Everclear, I'm right there besides ya.	I don't drink thet stuff. Eats m'gullet out. Gives me ulcers. But you run across some Everclear, I'm right there besides ya.
Keepin' yer pistols polished, son. Thet's what it's all about.	Keepin' yer pistols polished, son. Thet's what it's all about.
Hey, them's some nice, shiny new bullets ya got! Won't do ya much good settin' in yer sweaty palm, though. Load 'em or lose 'em, kid!	Hey, them's some nice, shiny new bullets ya got! Won't do ya much good settin' in yer sweaty palm, though. Load 'em or lose 'em, kid!
That there's clay! You lookin' to do some lost-wax castin'?	That there's clay! You lookin' to do some lost-wax castin'?
Some what?	Some what?
Never mind, it'd take too long to explain to ya.	Never mind, it'd take too long to explain to ya.
That's a fine bit o' silver, kiddo, the kinda thing you could molten' down and use fer lost-wax castin', if you were a mind to! Thet reminds me, gotter get to Sal's one of these days to have muh false teeth re-silvered.	That's a fine bit o' silver, kiddo, the kinda thing you could molten' down and use fer lost-wax castin', if you were a mind to! Thet reminds me, gotter get to Sal's one of these days to have muh false teeth re-silvered.
Nice duds ya got there, whippersnapper! Beige 'n turquoise. Reminds me a fella I knew, openin' up a restaurant by the Eastern Pacific line. Howie Johnson, I think his name wuz. Loved beige 'n turquoise.	Nice duds ya got there, whippersnapper! Beige 'n turquoise. Reminds me a fella I knew, openin' up a restaurant by the Eastern Pacific line. Howie Johnson, I think his name wuz. Loved beige 'n turquoise.
"Go with bright orange," I says to him, "Beige is sich a prissy li'l color." "But it goes with everything," he says to me. "Whut if it does?" I says. "Folks'll remember orange and turquoise. Nobody remembers beige and turquoise."	"Go with bright orange," I says to him, "Beige is sich a prissy li'l color." "But it goes with everything," he says to me. "Whut if it does?" I says. "Folks'll remember orange and turquoise. Nobody remembers beige and turquoise."
I don't know if he ever listened to me. Oh, well. Anyways, nice duds. Next time, ya might think about goin' with orange instead of beige.	I don't know if he ever listened to me. Oh, well. Anyways, nice duds. Next time, ya might think about goin' with orange instead of beige.
Oh, yeah! That thang! It'll be ready Tuesday! Ha ha ha, that's a thigh-slapper, son! Shoot, I wuz jus' funnin' ya. I dunno what that's fer.	Oh, yeah! That thang! It'll be ready Tuesday! Ha ha ha, that's a thigh-slapper, son! Shoot, I wuz jus' funnin' ya. I dunno what that's fer.
Nice pair o' sissified boots ya gots there, kid! Ain't nuttin' like a li'l turquoise 'n beige to strike fear inter the hearts of men!	Nice pair o' sissified boots ya gots there, kid! Ain't nuttin' like a li'l turquoise 'n beige to strike fear inter the hearts of men!
Cain't whittle nothin' outta THAT, kid!	Cain't whittle nothin' outta THAT, kid!
I cain't read this. I ain't got muh readin' glasses on.	I cain't read this. I ain't got muh readin' glasses on.
Hey, that ain't yourn! That belongs down t' the cemetery, don't it?	Hey, that ain't yourn! That belongs down t' the cemetery, don't it?
I was just borrowing it for a while.	I was just borrowing it for a while.
Oh, yeah, right. An' Mrs. Lincoln enjoyed the show. Git lost, yew shovel-stealin' varmint.	Oh, yeah, right. An' Mrs. Lincoln enjoyed the show. Git lost, yew shovel-stealin' varmint.
What the HELL you want me to do with THIS thing?	What the HELL you want me to do with THIS thing?
Nothing, I guess.	Nothing, I guess.
Good! It smells like horse poop, only it don't weigh nuthin'! Whut is it, "Horse Poop Lite" or somethin'? Get it outta my face!	Good! It smells like horse poop, only it don't weigh nuthin'! Whut is it, "Horse Poop Lite" or somethin'? Get it outta my face!
If you didn't want it, why'd you take it?	If you didn't want it, why'd you take it?
Whut'd you want me to do with THIS? Whittle it into sumpthin'? It's too soft! Bring it back in a couple weeks, when it's toughened up a little.	Whut'd you want me to do with THIS? Whittle it into sumpthin'? It's too soft! Bring it back in a couple weeks, when it's toughened up a little.
Potatoe sackse.	Potatoe sackse.
They'r note fore sal.	They'r note fore sal.
These are big ol' crates of the newest taste sensation sweeping the East. Too bad it hasn't reached the West Coast yet, hence all these full boxes.	These are big ol' crates of the newest taste sensation sweeping the East. Too bad it hasn't reached the West Coast yet, hence all these full boxes.
Due to a recent scandal, Chester refuses to sell any more Broccoli Roll-ups.	Due to a recent scandal, Chester refuses to sell any more Broccoli Roll-ups.
Barrels of Chester Field's most famous smoked delicacies.	Barrels of Chester Field's most famous smoked delicacies.
Chester isn't selling any more smoked pickles. He's recently developed a major craving for them, and goes through about a barrel a week.	Chester isn't selling any more smoked pickles. He's recently developed a major craving for them, and goes through about a barrel a week.
Sacks of Bachelor's Favourite Flour.	Sacks of Bachelor's Favourite Flour.
Pressure from local conservatives convinced Chester to stop selling these to unmarried persons. They felt he was promoting premarital sacks!	Pressure from local conservatives convinced Chester to stop selling these to unmarried persons. They felt he was promoting premarital sacks!
It's a horseshoe from Chester's old swayback horse, that got spooked by a wagon, ran into the street and broke its leg under the wagon wheel. Chester sent it to a veterinarian in San Francisco at outrageous cost, but in the end, the horse died anyway. Took every penny Chester had, since the horsemeat guy wouldn't buy the carcass.	It's a horseshoe from Chester's old swayback horse, that got spooked by a wagon, ran into the street and broke its leg under the wagon wheel. Chester sent it to a veterinarian in San Francisco at outrageous cost, but in the end, the horse died anyway. Took every penny Chester had, since the horsemeat guy wouldn't buy the carcass.
Guess he keeps the horseshoe up there for good luck.	Guess he keeps the horseshoe up there for good luck.
What? And take away Chester's good luck charm?	What? And take away Chester's good luck charm?
|c2|Wanted! Dead or Alive! For Crimes of Bad Taste, Innuendo & Gentle Perversion Albert "The Tinkler" Lowe Alias "The Talking Bear" Alias "Rottweiler Al" Alias "Creator of the Cult Classic BOP-A-BET" Reward: $500 Dead $15 Alive|c|	|c2|Wanted! Dead or Alive! For Crimes of Bad Taste, Innuendo & Gentle Perversion Albert "The Tinkler" Lowe Alias "The Talking Bear" Alias "Rottweiler Al" Alias "Creator of the Cult Classic BOP-A-BET" Reward: $500 Dead $15 Alive|c|
Leave it up, just in case somebody spots that no-good, scene-stealin', code-snitchin' wiseass sonnuva slimeball!	Leave it up, just in case somebody spots that no-good, scene-stealin', code-snitchin' wiseass sonnuva slimeball!
|c3|Notice! Lost: one ferret Brown & white, answers to the name of "Daisy" Enjoys sniffing out dead bodies. If found, please return to Dr. Olympia Myklos c/o Leyendecker Museum, New York City, NY|c|	|c3|Notice! Lost: one ferret Brown & white, answers to the name of "Daisy" Enjoys sniffing out dead bodies. If found, please return to Dr. Olympia Myklos c/o Leyendecker Museum, New York City, NY|c|
Criminy, if you were missing |c0|your|c| ferret, would |c0|you|c| want somebody to take down your lost notices?	Criminy, if you were missing |c0|your|c| ferret, would |c0|you|c| want somebody to take down your lost notices?
Announcement to All! |c1|I am no longer responsible for any debts incurred by my wife Valanice, my son Alexander or my daughter Rosella. Correspondence may be sent to: K. Graham of Daventry c/o P. Patti Washington, D.C.|c|	Announcement to All! |c1|I am no longer responsible for any debts incurred by my wife Valanice, my son Alexander or my daughter Rosella. Correspondence may be sent to: K. Graham of Daventry c/o P. Patti Washington, D.C.|c|
Better not touch it. Whoever this Kay Graham is, she might be very upset.	Better not touch it. Whoever this Kay Graham is, she might be very upset.
A small metal mirror.	A small metal mirror.
It's nailed in place. Apparently Chester wants to keep it.	It's nailed in place. Apparently Chester wants to keep it.
These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.	These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.
Even though they're still hanging up, Chester yanked 'em off the market when it was discovered that lead, mercury and chlorine are all toxic. The manufacturer denies any responsibility.	Even though they're still hanging up, Chester yanked 'em off the market when it was discovered that lead, mercury and chlorine are all toxic. The manufacturer denies any responsibility.
This is an old kerosene lantern.	This is an old kerosene lantern.
Chester only sells lanterns in combination with kerosene, but there's no kerosene to be found these days.	Chester only sells lanterns in combination with kerosene, but there's no kerosene to be found these days.
SevereWare Non-Clad Kettles.	SevereWare Non-Clad Kettles.
Chester's playing it safe; he won't sell these until he's determined that there's no lead, mercury, or chlorine in their manufacture.	Chester's playing it safe; he won't sell these until he's determined that there's no lead, mercury, or chlorine in their manufacture.
This old milk pitcher was only slightly used out on the farm.	This old milk pitcher was only slightly used out on the farm.
Federal law prohibits the sale of items that once contained unpasteurized milk.	Federal law prohibits the sale of items that once contained unpasteurized milk.
A hank of rope.	A hank of rope.
It's already been sold; Chester's just waiting for Hank to pick it up.	It's already been sold; Chester's just waiting for Hank to pick it up.
Assorted-size buckets... chicken, grease, slaw, taters and brown gravy-like paste not included.	Assorted-size buckets... chicken, grease, slaw, taters and brown gravy-like paste not included.
Chester stopped selling these after they levied the state-wide New Bucket Tax.	Chester stopped selling these after they levied the state-wide New Bucket Tax.
This is the interior of Chester Field's Mercantile Company. He used to call it a "General Store" until he ran out of Generals.	This is the interior of Chester Field's Mercantile Company. He used to call it a "General Store" until he ran out of Generals.
Most of what's here won't talk to you, unless it has vocal cords.	Most of what's here won't talk to you, unless it has vocal cords.
The building's not for sale. It's Chester Field's livelihood!	The building's not for sale. It's Chester Field's livelihood!
