That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
Okay, okay!	好啦，好啦！
You return!	你回來啦！
Yep.	是啊。
It is good to look upon your eternally smiling countenance of face again!	能再次看見你那張永遠掛著笑容的臉，真是太好了！
Yeah, yeah, I missed you, too.	是啦是啦，我也想你了。
That Srini! What a guy! He's made a grand and yet peculiarly inviting display of "Ol' Gampy's Fisherman Throat Gullet Descaler Lozenges." He must have heard about that promotional contest being run by the American Society of Salves, Holistic Ointments, Liniments and Emollients Salesmen. (Think about it.)	那個斯里尼！真有一套！他把「甘皮老船夫牌魚喉去鱗喉片」擺得又氣派又莫名地引人注目。他大概是聽說了「美國藥膏、順勢療法軟膏、擦劑與潤膚劑推銷員協會」在辦促銷比賽。（自己想想這縮寫是什麼。）
Don't touch Srini's handiwork! You never know when one of the roving judges will stop by and check out the display!	別碰斯里尼的傑作！你永遠不知道巡迴評審什麼時候會突然跑來看這個展示！
Groovy!	帥呆了！
(GHOULISH VOICE) I'll swallow your soul!	（陰森的聲音）我要吞噬你的靈魂！
This is the cozy little back room of your pharmacy, where you do your heavy thinking. In other words, you don't spend much time here!	這是你藥局裡溫馨的小後房，你在這裡進行深度思考。換句話說，你其實很少待在這兒！
You open your mouth to say something to it, but words fail you.	你張嘴想說點什麼，卻一個字也擠不出來。
The pharmacy is falling apart as it is; don't pick at it, you'll just make it worse.	藥局本來就快散架了；別再摳它，只會讓情況更糟。
That's your laboratory, where you concoct and bottle your formulas.	那是你的實驗室，你在這裡調配並裝瓶你的配方。
These stairs lead up to your tiny bedroom.	這道樓梯通往你那間小臥房。
It's a lamp. And a bodaciously ugly one, at that!	那是一盞燈。而且醜得非常有個性！
The lamp doesn't work. You make a mental note to change the filament. The last piece of cotton thread you used in the bulb only lasted about 45 minutes.	這盞燈不會亮。你在心裡記下要換燈絲。上次用在燈泡裡的那段棉線，只撐了大概45分鐘。
Some buxom lady's portrait. Notice how the painting seems to follow you around the room? And I don't mean her eyes!	一幅豐滿女士的肖像。有沒有發現這幅畫好像會跟著你在房裡轉？我說的可不是她的眼睛！
Don't move it, it's covering up the remains of a failed experiment in which you tried to cure the common cold by building up a resistance to mucus.	別動它，它擋著一場失敗實驗的殘跡——你當初想靠培養對鼻涕的抗性來治感冒。
It's a picture of some nearby big rock.	那是附近一塊大石頭的畫。
Don't move it, it's covering up the remains of a failed experiment in which you attempted to apply a tourniquet to a sucking chest wound.	別動它，它擋著一場失敗實驗的殘跡——你當初想用止血帶處理胸部穿刺傷。
Your reference book shelf, complete with such top-ten medical reading as:	你的參考書架，上頭擺著這些十大醫學讀物，像是：
The only book you'll need to finish this game is the Home Medical guide that came packed in the box. Oh, and perhaps a good 10-volume encyclopedia of Western folklore, if you happen to have one.	要破完這款遊戲，你唯一需要的書就是包裝盒裡附的《居家醫療指南》。喔，如果手邊剛好有一套十冊的西部民俗百科全書，也許也用得上。
It's your hand-hooked rug. One of Madame's hookers handed it to you!	這是你手工鉤織的地毯。是歐薇莉夫人那邊一位小姐親手鉤給你的！
You peek underneath the rug, but other than a trap door, you see nothing at all. You wisely decide to avoid investigating it until another day. Waitaminnit, a TRAP DOOR? Oh, that's just the way the floorboards are laid. Never mind, there's no trap door there.	你掀開地毯偷看，除了一道活門之外什麼也沒有。你明智地決定改天再研究這件事。等等，活門？喔，那只是地板拼接的樣子啦。沒事，那裡根本沒有什麼活門。
You keep a pitcher of water in a basin, so you can occasionally wash your face.	你在臉盆裡放了一壺水，好讓你偶爾洗把臉。
But you just washed your face last February!	可是你上次洗臉才二月而已耶！
Why, it's your old roll-top desk. What happened to that roll you recently left on top of it? You've must've eaten it!	哎呀，是你那張老舊的捲蓋書桌。你最近放在上面的那個捲餅跑哪去了？你一定是把它吃掉了吧！
You keep your anatomical models in here. But don't worry, you're not the only one in town with a few skeletons in your closet!	你把解剖模型放在這裡。別擔心，鎮上「衣櫃裡藏著骷髏」的可不只你一個！
You haven't been able to open this closet since you tested your new formula, Loony Glue, on it several years ago.	自從幾年前你在這個櫃子上測試新配方「瘋狂膠水」以來，你就再也打不開它了。
This old table is left over from your college days.	這張舊桌子是你大學時代留下來的。
Leave that table along until FREDDY PHARKAS, INFERIOR DECORATOR.	別去碰那張桌子，除非哪天出了《佛萊迪·法卡斯：蹩腳裝潢師》。
This chair was left here by the previous owner of the pharmacy, Franklin Pharquat.	這張椅子是藥局前任老闆富蘭克林·法夸特留下來的。
You rarely use it. It's uncomfortable, unstable, and unattractive.	你很少用它。它坐起來不舒服、不穩，而且其貌不揚。
It's an old letter, cobwebbed, yellowed and faded.	這是一封舊信，結著蜘蛛網，又黃又褪色。
You take the letter out of the drawer.	你把信從抽屜裡拿出來。
...so I've been thinking about hiring an assistant to help me around the store, clean up, y'know, the usual chores. Think you'd be interested?	……所以我在想，要不要雇個助手來幫忙顧店、打掃，就那些例行雜事啦。你有興趣嗎？
Oh, I would be highly gratuitous of your bending over to display me such a position! Would you be offering as well a form of payment?	喔，承蒙您屈尊給我這個職位，我感激不盡！那麼您是否也會提供某種報酬呢？
I'll pay ya 10 cents a day and all the Rustler's Stove chocolates you kin eat.	我一天付你十分錢，再加上你吃得下多少「牛仔爐灶牌」巧克力都算你的。
That is an agreement!	一言為定！
Excellent, uh... um... what was your name again?	太好了，呃……那個……你叫什麼名字來著？
Srini Lalkaka Bagdnish, but you may call me Srini and I will be calling you Freddy, hokay?	斯里尼·拉卡卡·巴格尼許，不過您可以叫我斯里尼，我也會叫您佛萊迪，好唄？
Hokay. Now let's get cracking, Srini! I'd like you to go out there and create some nice displays for the skin lotions. We may be closed temporarily, but we'll be opening up sooner or later, and we've GOT to be ready!	好唄。那咱們開工吧，斯里尼！我要你去外面幫皮膚乳液弄些漂亮的展示。咱們現在雖然暫時歇業，但遲早要重新開張，一定得準備好才行！
What it is, Freddy! I will be getting on that now!	沒問題，佛萊迪！我這就去辦！
Your desktop is closed and locked, just the way you normally keep it.	你的桌面是關著、鎖著的，一如平常。
The desktop's locked. Damn this crude desktop interface!	桌面鎖住了。這粗糙的桌面介面真是要命！
That's the wrong key for the roll-top desk.	這把鑰匙不對，開不了這張捲蓋書桌。
You can't lock or unlock the desk with THAT key!	你不能用「那把」鑰匙來鎖或解鎖這張書桌！
You lock the desktop. You never know who's gonna sneak in here and try to get their hands in your drawers.	你把桌面鎖上了。你永遠不知道誰會偷溜進來，想把手伸進你的抽屜裡。
You unlock the desktop.	你把桌面解鎖了。
Been out in the sun too long? You can't lock the desk until you close it.	曬太陽曬過頭了嗎？你得先把書桌關上，才能鎖它。
That key doesn't work in the desk.	這把鑰匙開不了這張書桌。
It's an interesting drawer. You wonder if it's made any famous sketches!	這是個有趣的抽屜。你不禁納悶它是不是畫過什麼名畫！
As some of the ladies down at Madame's have told you: there isn't anything in those drawers worth looking at!	就像歐薇莉夫人那邊幾位小姐告訴過你的：那些抽屜裡沒什麼值得看的！
The drawer's locked.	抽屜鎖著。
You lock the drawer.	你把抽屜鎖上了。
You unlock the desk drawer.	你把書桌抽屜解鎖了。
Funny thing about drawers. You can't lock them when they're wide open.	抽屜這東西挺有意思的。開得大大的時候，你是鎖不了的。
Bismuth Enterosalicyline	腸溶水楊酸鉍
Potassium Cupri-tartate	酒石酸鉀銅
Phenolsulphonphthalein	酚紅
Furachlordone	弗氯酮
You study Penelope's prescription and prepare to carefully fill it. You wouldn't want to make a mistake with HER medicine.	你仔細研究潘妮洛普的處方箋，準備小心翼翼地配藥。你可不想在「她的」藥上出差錯。
You study Helen Back's prescription and prepare to carefully fill it.	你仔細研究海倫·貝克的處方箋，準備小心翼翼地配藥。
As you study Madame Ovaree's prescription, you realize you cannot read it. The writing looks so blurry.	你研究歐薇莉夫人的處方箋時，發現自己根本看不懂。字跡看起來模糊得很。
You were so clever to use Doc's whisky glass to read Madame Ovaree's prescription. Now you prepare to carefully fill it.	你真聰明，想到用大夫的威士忌杯來看清歐薇莉夫人的處方箋。現在你準備小心翼翼地配藥。
You study Doc's corrections to Madame Ovaree's prescription and prepare to carefully fill it.	你研究大夫對歐薇莉夫人處方箋的修正，準備小心翼翼地配藥。
Burner	加熱器
Waste Receptacle	廢料桶
Yucch! There's all sorts of discarded chemicals down there.	噁！下面全是些丟棄的化學藥品。
You drop the contents down the waste receptacle.	你把裡面的東西倒進廢料桶。
Don't throw that away!	別把那個丟掉！
You toss it into the waste receptacle.	你把它扔進廢料桶。
Pepticlymacine Tetrazole	胃淋四唑
Bismuth Subsalicylate	次水楊酸鉍
Mercuric Chloride	氯化汞
Orphenamethihydride	鄰甲氫化物
Tyloxpolynide	泰洛西聚醯胺
Nitrabylocynine	硝巴洛西寧
Medicine Bottles	藥瓶
Magnesium Sulfate	硫酸鎂
Prescription Box	處方箋盒
You only need one prescription box at a time.	你一次只需要一個處方箋盒。
The prescription box is for finished prescriptions only, not for mixing ingredients.	處方箋盒只能放配好的藥，不能用來混合原料。
You can't mix items in the prescription box. It's for finished powders only.	你不能在處方箋盒裡混合東西。它只能放配好的藥粉。
You can't mix powders in with what is already in the prescription box.	你不能把藥粉和處方箋盒裡已有的東西混在一起。
Phenodol Oxytriglychlorate	苯酚醇氧三氯化物
Bimethylquinoline	二甲基奎林
Enteromagneline	腸鎂靈
Sodium Bicarbonate	碳酸氫鈉
Corks	軟木塞
Medicinal Papers	藥用紙
Matches	火柴
Mortar & Pestle	研缽與杵
You carefully label the container "Miss Penelope Primm -- for internal use only." And what internals they are! You dream about them day and night!	你小心翼翼地在容器上標記「潘妮洛普·普林姆小姐——僅供內服」。而她的「內在」……你可是日思夜想呢！
You carefully label the container "Mrs. Helen Back -- take three times daily, just before meals."	你小心翼翼地在容器上標記「海倫·貝克太太——每日三次，飯前服用」。
You carefully label the container "Madame Ovaree."	你小心翼翼地在容器上標記「歐薇莉夫人」。
Well, that was a fun experiment, but it's not going to help you out of your present mess! You throw it all away as you leave your lab table.	這實驗是挺有趣的，但沒辦法幫你脫離眼前的困境！你離開實驗桌時把它全丟了。
You carefully label the jar, "Aminophyllic Citrate." Congratulations. You've just created your first batch of "Pharkas' Deflatulizer."	你小心翼翼地在罐子上標記「檸檬酸胺非林」。恭喜你，你剛做出了第一批「法卡斯消脹劑」。
You carefully label the bottle, "Bisalicylate Antitoxidene." Congratulations. Be careful; this stuff is mighty concentrated.	你小心翼翼地在瓶子上標記「雙水楊酸抗毒素」。恭喜。小心點，這東西可濃得很。
Your fruitless experimentation completed, you exit your laboratory. Perhaps a chemical solution is uncalled for right now.	徒勞無功的實驗告一段落，你走出實驗室。或許現在根本不需要什麼化學解法。
You attempt to make something that will cure the horses' flatulence. But until you find a way to "breathe easier," you won't be able to get near enough to those horses to use it! So you toss it away and decide to make a fresh batch after you've got some sort of gas mask.	你試著調配一種能治馬兒脹氣的藥。但在你想出辦法「好好呼吸」之前，你根本沒辦法靠近那些馬用它！於是你把它丟了，打算等你弄到某種防毒面具之後再重新調一批。
Graduated Cylinder	量筒
The graduated cylinder is full.	量筒滿了。
You must empty the graduated cylinder before using it to measure something else.	你得先把量筒清空，才能用它量別的東西。
The graduated cylinder should only be used for measuring liquids.	量筒應該只用來量液體。
Solids must either be weighed or scooped with a measuring spoon.	固體必須用秤重或用量匙舀取。
This bottle of Tyloxpolynide is empty! You never seem to have enough.	這瓶泰洛西聚醯胺是空的！你手邊好像永遠都不夠用。
This is where you concoct all your potions, pills, powders. It's here that you truly earn the right to call yourself "Freddy Pharkas, Frontier Pharmacist."	這裡是你調配所有藥水、藥丸、藥粉的地方。也是在這裡，你才真正配得上「邊疆藥師佛萊迪·法卡斯」這個稱號。
Alcohol lamp	酒精燈
The alcohol lamp feels cool to the touch.	酒精燈摸起來是涼的。
You quickly lick your fingers and pinch out the alcohol lamp's flame.	你迅速舔了舔手指，把酒精燈的火苗捏熄。
You fill the alcohol lamp with Dad Gumm's alcoholic elixir.	你用「老爹岡姆牌」酒精萬靈藥把酒精燈加滿。
You can't heat the medallion directly. You'd burn your hands.	你不能直接加熱這枚勳章，會燙傷手的。
The silver medallion slowly begins to melt.	這枚銀勳章開始慢慢融化。
The medallion is nearly completely melted now.	這枚勳章現在幾乎完全融化了。
You now have a crucible containing molten silver.	你現在有一個裝著熔融銀的坩堝。
The medallion looks nice beside the cold alcohol lamp.	這枚勳章擺在冰涼的酒精燈旁邊，看起來挺順眼的。
Excellent idea, but wait until you have somewhere to put the molten silver!	好主意，不過你得先找個地方放熔融的銀才行！
Allowing only a slight portion of your sample to escape near the alcohol lamp, you notice it turns the flame an unusual color.	你只讓一小部分樣本靠近酒精燈逸散，發現它把火焰變成了奇怪的顏色。
Whew! What an aroma! You'd better do something about it before everyone leaves town.	呼！好濃的味道！你最好在大家都逃出鎮之前想想辦法。
The wax in the mold slowly starts to melt.	模具裡的蠟開始慢慢融化。
The melted wax runs out of the mold and spatters on the work table, resulting in an empty ear-shaped mold! (And a table with a severe case of "waxy build-up!")	融化的蠟從模具裡流出來，濺得工作桌到處都是，留下一個空的耳朵形模具！（還有一張嚴重「蠟質堆積」的桌子！）
Nothing much happens since the lamp isn't lit.	燈沒點著，沒什麼反應。
Measure your chemical and place it into a mixing device first, then heat it here.	先把你的藥劑量好放進混合器具裡，再拿到這裡加熱。
The chemical warms slowly over the alcohol lamp.	藥劑在酒精燈上慢慢變熱。
Now it's getting pretty hot. Good thing your callouses are thick!	現在變得相當燙了。還好你的手繭夠厚！
The chemical rapidly reaches a full, rolling boil.	藥劑很快就沸騰翻滾了起來。
The mortar and pestle is not to be used for heating chemicals.	研缽與杵不是用來加熱藥劑的。
There's no need to heat up the mixing device if there's nothing inside it. In other words, no preheating necessary!	混合器具裡什麼都沒有的話，就不必加熱。換句話說，不用預熱！
The lamp is already lit.	燈已經點著了。
The alcohol lamp is empty. You must first fill it with fuel before you can light it.	酒精燈是空的。你得先加滿燃料才能點燃它。
The alcohol lamp must be burning before you can use the gaseous spectroscope on it.	酒精燈必須先點燃，你才能用氣體光譜儀對它進行檢測。
There is nothing inside the crucible to melt.	坩堝裡沒有東西可以融化。
First, light the alcohol lamp, otherwise you'll wait here a long time for that silver to melt!	先把酒精燈點燃，不然你在這裡等到天荒地老，那銀子也不會融化！
Enough already with the melting silver! It's melted, it's melted!	別再融那銀子了！融好了啦，融好了！
Pill machine	製丸機
The pill machine is empty. You must first place a mixture into the machine before attempting to make pills.	製丸機是空的。你得先把混合物放進機器裡，才能開始做藥丸。
You can place the pills into a medicine bottle by clicking the bottle on the pills.	你可以用藥瓶點藥丸，把藥丸裝進藥瓶裡。
To make pills, you need a |c0|mixture|c| which contains at least one solid.	要做藥丸，你需要一種含有至少一種固體的|c0|混合物|c|。
You must have at least one solid ingredient in a mixture to make pills. It'll be years before "gelcaps" are invented.	混合物裡至少要有一種固體原料才能做藥丸。「膠囊」這種東西還要好幾十年才會被發明出來呢。
You should use up the current batch of mixture in the pill machine before adding some more.	你應該先用完製丸機裡現有的那批混合物，再加更多進去。
Different types of pills shouldn't be mixed in the same container!	不同種類的藥丸不該混裝在同一個容器裡！
The pill machine's empty, so there aren't any pills to collect. You must first put a mixture into the pill machine.	製丸機是空的，沒有藥丸可以收。你得先把混合物放進製丸機裡。
You can't mix pills in with what's already in this container.	你不能把藥丸和這個容器裡已有的東西混在一起。
Test tube	試管
Water	水
Medicinal Paper	藥用紙
The medicinal papers can only hold 5 grams.	藥用紙最多只能裝5公克。
Cork	軟木塞
Sorbitalic Acid	山梨他酸
Reserpicline Oxide	利血平林氧化物
Calcium Carbonate	碳酸鈣
Metyraphosphate	美替拉磷酸鹽
Stirring Rods	攪拌棒
Putting the stirring rod on the table will contaminate it. Just use it to stir chemicals in the beaker, then discard it.	把攪拌棒放在桌上會弄髒它。用它攪拌燒杯裡的藥劑就好，用完就丟掉。
Beaker	燒杯
It is advisable to measure your ingredients instead of just dumping them together.	建議你把原料量好，而不是直接倒在一起。
The mortar & pestle is for grinding solids only.	研缽與杵只能用來研磨固體。
Click the mixture on the container, not vice versa.	要用混合物去點容器，不是反過來。
Only place one chemical at a time into the mixing device. Thank you!	混合器具一次只能放一種藥劑喔，謝謝！
This container is for your finished product, not for mixing. Do your mixing in the proper device.	這個容器是用來裝成品的，不是用來混合的。混合請用專門的器具。
The medicine containers are for finished medications only. Once you've placed something in a container, you must discard it before starting over. Mix chemicals in a mixing device only.	藥用容器只能放配好的藥。一旦你在容器裡放了東西，就得先丟掉才能重新開始。混合藥劑請只用混合器具。
There's no reason to cork an empty bottle!	沒理由去塞一個空瓶子的軟木塞吧！
You knock them together, but otherwise accomplish nothing.	你把它們敲在一起，但也就這樣，沒別的效果。
Balance	天平
Your finger weighs as much as it did yesterday.	你的手指跟昨天一樣重。
You must first place the balance pan on the balance.	你得先把秤盤放到天平上。
You don't need to weigh that mixture.	你不需要秤那份混合物。
You can't mix chemicals in the balance. Weigh one item at a time.	你不能在天平裡混合藥劑。一次只能秤一樣東西。
5 gm. Measuring Spatula	5公克 量藥匙
The spatula is already full of something. Empty it into an appropriate container before you do anything else with it.	量藥匙裡已經裝了東西。在做其他動作之前，先把它倒進合適的容器裡。
The spatula isn't suitable for measuring liquids.	量藥匙不適合用來量液體。
Click the spatula on the mixing device, not vice versa.	請把量藥匙點到調配器上，不是反過來。
Stirring Rod	攪拌棒
Your work area is a little dusty, but it's more than clean enough to continue your work.	你的工作檯有點灰塵，但乾淨程度絕對夠你繼續工作。
Click the chemical on the mixing device, not vice versa.	請把藥劑點到調配器上，不是反過來。
Place the chemical into the container, not vice versa.	把藥劑放進容器裡，不是反過來。
There's no need to measure it now, it's already mixed.	現在不需要量了，已經混合好了。
Click the measuring device on the container, not vice versa.	請把量具點到容器上，不是反過來。
Prescription Boxes	處方藥盒
Medicine Bottle	藥水瓶
You only need to work with one medicine bottle at a time. Dump the contents if you need to start over.	一次只能處理一個藥水瓶。要重來的話，先把裡面的東西倒掉。
Balance pan	秤盤
The balance pan is only for measuring unmixed chemicals.	秤盤只能用來秤未混合的藥劑。
You can't mix chemicals in the balance pan.	你不能在秤盤裡混合藥劑。
Disgusted at your inability to prepare the proper concoction, you discard your attempt in the waste receptacle and leave your laboratory.	你對自己配不出正確藥方感到厭煩，把失敗品丟進廢棄桶，離開了實驗室。
Gaseous Spectroscope	氣體分光儀
Good idea, Freddy. The spectrum lines on that etched glass viewer reveal volumes to those who know how to read.	好主意，佛萊迪。那片蝕刻玻璃鏡上的光譜線，對懂得判讀的人來說能透露不少訊息。
The gaseous spectroscope doesn't work unless the alcohol lamp is lit and the spectroscope has been placed in front of the lamp.	除非先點燃酒精燈，並把光譜儀擺在燈前，否則氣體光譜儀無法運作。
Crucible	坩堝
The crucible is only for melting pure, or nearly pure, metals.	坩堝只能用來熔化純金屬，或接近純度的金屬。
Before leaving your lab, you remove the medallion from the crucible.	離開實驗室前，你把獎章從坩堝裡取出。
You've got a crucible of molten silver! You shouldn't leave the lab until you figure out something to do with it.	坩堝裡有一鍋熔化的銀！在想出該拿它怎麼辦之前，你不該離開實驗室。
You quickly pour the molten silver into the empty mold.	你迅速把熔銀倒進空模具裡。
You can't sleep. You're too restless. Maybe because it's broad daylight.	你睡不著，心裡靜不下來。也許是因為現在是大白天。
You'll never get back to sleep now. There's trouble afoot, and that gnaws at your gut. Or maybe it's that whole pouch of "Gummy Buffalo" you had just before you went to sleep!	你現在肯定睡不回去了。有麻煩正在醞釀，啃噬著你的胃。也可能是睡前吃下那一整包「水牛軟糖」的緣故！
It's your Seamy Pasturepedic 100% rawhide-filled mattress. You bumped into it at a sidewalk sale. And fractured your shin. They let you take it home, which was cheaper than paying to have your leg fixed.	這是你的「邋遢牧場牌」百分百生皮填充床墊。你在路邊拍賣時撞上了它，撞裂了小腿骨。對方讓你把床墊帶回家，因為那比幫你治腿便宜多了。
You don't really need those grooming aids, you're a Western-style hero. Your hair is always in place and your gums are always sparkling pink.	你其實不需要那些梳妝用品，你可是西部風格的英雄。頭髮永遠服服貼貼，牙齦永遠粉嫩發亮。
Your grooming aids:	你的梳妝用品：
This is no time to sit and read books. You're in the middle of a stirring saga of the Old West!	現在不是坐下看書的時候。你正身處一場蕩氣迴腸的西部傳奇之中！
A lovely old glass-fronted bookcase, containing some of your favorite leisure-time reading material:	一個古樸的玻璃門書櫃，裡頭放著你最愛的休閒讀物：
Now let's see. Where wuz I? Oh, that's right. Madame Ovaree begged and pleaded with Freddy to either leave town or take up his ol' gunslingin' ways, sumpthin' which Freddy was just a mite reluctant to consider. So they decided to sleep on it, and though they didn't get much sleep, Freddy did mull it over somewhat.	讓我瞧瞧，講到哪了？喔對了。歐薇莉夫人苦苦哀求佛萊迪，要嘛離開小鎮，要嘛重操他當年的槍手舊業，這件事佛萊迪其實有點不太願意考慮。於是他們決定先睡一覺再說，雖然沒睡多少，佛萊迪倒是把這事琢磨了一番。
Penelope... Coarsegold... Madame Ovaree...	潘妮洛普……粗金鎮……歐薇莉夫人……
<cough cough>	<咳咳>
It's been so long since you moved this chair, it seems to have become one with the floor. How zen!	這張椅子好久沒挪動了，看起來已經跟地板融為一體。真是禪意十足！
You ran across this desk chair outside the General Store. In so doing, you tripped and knocked out two teeth. You threatened to sue the owner, but he placated you by giving you this fine chair to keep.	你在雜貨店外撞見這張書桌椅。撞的時候還絆了一跤，磕掉兩顆牙。你揚言要告老闆，結果他送你這張好椅子當賠罪，你就消氣了。
You pick up the claim check, your hand trembling with the memory of the last time you wore the boots that you traded for it... that monster, Kenny the Kid, looking down at you and laughing as your ear bled in the hot sun...	你拿起提貨單，手不禁顫抖，想起上次穿這雙靴子換來的回憶……那個惡棍小鬼肯尼，居高臨下看著你，在烈日下笑著看你耳朵流血……
It's a claim check... for a pair of boots! Your old cowboy boots from... the Before Time? Before "The Accident?" Could it be?? That's what you get for not opening this drawer for the past decade.	這是一張提貨單……用來領一雙靴子！是你「從前」……在「那場意外」之前的舊牛仔靴嗎？難道是？這就是你十年沒開這個抽屜的下場。
This side of the armoire doesn't open. It must've been built by the same yahoo that built the outhouse by ReBoot Hill!	衣櫃的這一側打不開。八成是蓋「重開機丘」那間茅廁的同一個蠢蛋做的！
You picked up this old armoire at the farmer's market. It gave you a hernia. So instead of paying the doctor's bills, the owner let you keep it.	你在農夫市集買下這個舊衣櫃，結果搬出了疝氣。老闆讓你留下衣櫃，抵掉醫藥費。
Look, your closet full of pharmacist duds.	瞧，你滿櫃子的藥劑師行頭。
The armoire door is wide open, displaying your outfits for all the world to see and admire.	衣櫃門大開，你的行頭展示在世人眼前，供人欣賞。
The drawer at the base of your armoire is empty, except for a few stray black widows.	衣櫃底部的抽屜是空的，只剩幾隻遊蕩的黑寡婦蜘蛛。
It's the open drawer of your armoire, currently exceedingly empty and devoid of stuff.	這是衣櫃打開的抽屜，目前空得徹底，什麼都沒有。
You take your old gunslinger clothes and your "Good Guy Model" Stetson hat.	你拿起舊日的槍手服裝，還有那頂「好人款」牛仔氈帽。
Your old hat and gunslinging outfit! And ... mmmm! ... it smells of camphor!	你的舊帽子和槍手裝束！而且……嗯……聞起來有樟腦味！
You take the key.	你拿起了鑰匙。
Hot dawg, now we're gettin' somewhere.	呦呼，這下總算有點進展了。
It's a key! Hot dawg, now we're gettin' somewhere.	是把鑰匙！呦呼，這下總算有點進展了。
The dresser is artistically placed as it is. No need to move it.	這梳妝台的擺放本身就很有美感，不需要移動。
You stumbled onto this big ol' dresser at a moving sale. And broke your toe. So rather than pay to have your toe fixed, the owner let you keep the dresser. In fact, you get ALL your furniture by accident!	你在搬家拍賣上撞見這個大梳妝台，還撞斷了腳趾。老闆讓你留下梳妝台，抵掉治腳趾的錢。說真的，你所有的家具都是這樣意外得來的！
You'll hafta close the dresser drawer before you can do that. Damn these one-bedroom apartments.	你得先關上梳妝台抽屜才能這麼做。這種一房公寓真是狹小討厭。
The drawer is empty, save for a few cobwebs, dust balls, and dead gnats. If you had some socks and underwear in there, they'd need washing pretty badly.	抽屜是空的，只剩幾張蜘蛛網、灰塵球和死掉的小蟲。要是裡頭真有襪子和內褲，恐怕早該拿去洗了。
There you are, Freddy Pharkas, you are mostly indeed a picture of stately mysterious strangerness. Nobody will be positive to recognize you any now.	瞧瞧你，佛萊迪·法卡斯，此刻的你儼然是一副莊嚴神秘的陌生人模樣。現在沒人能篤定認出你了。
Thanks for your help, Srini. Coarsegold owes you a debt of gratitude it can never repay. If anyone asks, Freddy Pharkas has left town. And if I don't come out of this alive, the Pharmacy is yours.	謝謝你的幫忙，斯里尼。粗金鎮欠你一份永遠還不清的恩情。要是有人問起，就說佛萊迪·法卡斯已經離開小鎮了。要是我這趟出去回不來，藥局就是你的了。
That is of a true generous nature you are displaying, Freddy Pharkas. As for me, I would like to open a pharmacy on the reservation among my people. But whether that is fated to be or not is in the hands of someone who is not I. Luck be with you, Freddy Pharkas. I am proud now.	你展現出的，正是真正慷慨的天性，佛萊迪·法卡斯。至於我，我希望能在保留區為我的族人開一間藥局。但這是否是命中注定，並非由我來決定。祝你好運，佛萊迪·法卡斯。此刻我深感驕傲。
With your boots, your clothes, your guns cleaned and loaded, your silver ear, and your lucky neckerchief, you're ready to get dressed and assume your identity as the Gunslingin' Stranger. You return to your penthouse suite, high atop the glittering Pharkas Pharmacy in Beautiful Downtown Coarsegold.	靴子穿上，衣服備妥，槍枝擦亮上膛，銀耳裝好，幸運領巾繫上，你準備好換上「槍手陌生人」的身分了。你回到頂樓套房，高踞於閃亮的法卡斯藥局之上，坐落在粗金鎮美麗的市中心。
It's a reading lamp. Don't bother it while it's reading.	這是一盞閱讀燈。它在看書的時候別去打擾它。
While browsing at a second-hand store, you were struck by this particularly sturdy reading lamp. The result was a mild concussion. The guy who'd accidentally dropped it out of the second-story window was very apologetic, and rather than pay for the skull surgery, offered to let you take the lamp home with you.	你在二手商店逛街時，被這盞特別堅固的閱讀燈砸中，落得輕微腦震盪。不小心從二樓窗戶把它丟下來的那個人非常抱歉，與其付顱骨手術的錢，他寧可讓你把燈帶回家。
There's nothing under there but more moose.	那下面除了更多的麋鹿，什麼都沒有。
Your authentic moose-skin rug looks very attractive with those eyeglasses on it! It would've been a mite less lumpy if somebody'd remembered to skin the moose first.	你那張正宗麋鹿皮地毯上擺著眼鏡，看起來相當有型！要是當初有人記得先把麋鹿剝皮，地毯會少一點凹凸不平。
There's nothing left in the drawer you can use.	抽屜裡沒有你能用的東西了。
You've got nowhere to take it.	你沒有地方可以拿它去。
While window-shopping in Chowchilla, your eye fell on this plain but serviceable nightstand. They got your eye back in, but the owner didn't want to touch the nightstand anymore. He let you keep it.	你在喬奇拉逛街時，一眼就相中這個樸素卻實用的床頭櫃──看到眼珠子都掉出來了。他們把眼珠裝了回去，但老闆從此不想再碰這櫃子，索性讓你留著。
Don't move it, it's covering up the results of a failed experiment involving Madame Ovaree, a dog, a melon and a Tibetan hanging basket.	別移動它，它正蓋著一場失敗實驗的殘局，牽涉到歐薇莉夫人、一隻狗、一顆哈密瓜和一個西藏吊籃。
A small picture of your Mother, rest her soul. If only she could have lived to see you now: an ex-gunslinging pharmacist in Coarsegold, California. She'd have had a heart attack and died.	一張你母親的小照片，願她安息。要是她能活著看到現在的你——一個曾是槍手、如今在加州粗金鎮當藥劑師的男人，恐怕會嚇到心臟病發身亡。
Sturdy timbers. Solid construction. Indoor plumbing. Any of those would be an improvement!	堅固的木料。紮實的建造。室內水管。有這些哪一樣都算是進步！
This is your cozy li'l bedroom.	這是你溫馨的小臥室。
I wonder how this would look if I added a little paneling?	不知道加點壁板裝潢，這裡會變成什麼樣子？
You usually try to avoid talking to your surroundings.	你通常會盡量避免跟周遭環境講話。
FIRE! FIRE! Freddy Pharkas, please come urgently!	火災！火災！佛萊迪·法卡斯，請火速前來！
Whu... what's wrong, Srini?	什……什麼事，斯里尼？
